State,Year,Quarter,Brand,Transaction_count,Percentage,Region
Andaman and Nicobar Islands,2018,1,Xiaomi,1665,0.247032641,Southern Region
Andaman and Nicobar Islands,2018,1,Samsung,1445,0.214391691,Southern Region
Andaman and Nicobar Islands,2018,1,Vivo,982,0.145697329,Southern Region
Andaman and Nicobar Islands,2018,1,Oppo,501,0.074332344,Southern Region
Andaman and Nicobar Islands,2018,1,OnePlus,332,0.04925816,Southern Region
Andaman and Nicobar Islands,2018,1,Realme,316,0.046884273,Southern Region
Andaman and Nicobar Islands,2018,1,Apple,229,0.033976261,Southern Region
Andaman and Nicobar Islands,2018,1,Motorola,226,0.033531157,Southern Region
Andaman and Nicobar Islands,2018,1,Lenovo,202,0.029970326,Southern Region
Andaman and Nicobar Islands,2018,1,Huawei,158,0.023442136,Southern Region
Andaman and Nicobar Islands,2018,1,Others,684,0.10148368,Southern Region
Andaman and Nicobar Islands,2018,2,Xiaomi,2303,0.24486975,Southern Region
Andaman and Nicobar Islands,2018,2,Samsung,1923,0.20446571,Southern Region
Andaman and Nicobar Islands,2018,2,Vivo,1523,0.161935141,Southern Region
Andaman and Nicobar Islands,2018,2,Oppo,708,0.075279107,Southern Region
Andaman and Nicobar Islands,2018,2,OnePlus,466,0.049548113,Southern Region
Andaman and Nicobar Islands,2018,2,Realme,465,0.049441786,Southern Region
Andaman and Nicobar Islands,2018,2,Motorola,319,0.033918129,Southern Region
Andaman and Nicobar Islands,2018,2,Apple,308,0.032748538,Southern Region
Andaman and Nicobar Islands,2018,2,Lenovo,244,0.025943647,Southern Region
Andaman and Nicobar Islands,2018,2,Huawei,230,0.024455077,Southern Region
Andaman and Nicobar Islands,2018,2,Others,916,0.097395003,Southern Region
Andaman and Nicobar Islands,2018,3,Xiaomi,2950,0.242818339,Southern Region
Andaman and Nicobar Islands,2018,3,Samsung,2409,0.198287925,Southern Region
Andaman and Nicobar Islands,2018,3,Vivo,2063,0.169808215,Southern Region
Andaman and Nicobar Islands,2018,3,Oppo,988,0.081323566,Southern Region
Andaman and Nicobar Islands,2018,3,OnePlus,617,0.050786073,Southern Region
Andaman and Nicobar Islands,2018,3,Realme,603,0.049633715,Southern Region
Andaman and Nicobar Islands,2018,3,Motorola,390,0.032101408,Southern Region
Andaman and Nicobar Islands,2018,3,Apple,371,0.030537493,Southern Region
Andaman and Nicobar Islands,2018,3,Huawei,314,0.025845749,Southern Region
Andaman and Nicobar Islands,2018,3,Lenovo,299,0.024611079,Southern Region
Andaman and Nicobar Islands,2018,3,Others,1145,0.09424644,Southern Region
Andaman and Nicobar Islands,2018,4,Xiaomi,3719,0.244317435,Southern Region
Andaman and Nicobar Islands,2018,4,Samsung,2936,0.192878728,Southern Region
Andaman and Nicobar Islands,2018,4,Vivo,2742,0.180134017,Southern Region
Andaman and Nicobar Islands,2018,4,Oppo,1268,0.083300486,Southern Region
Andaman and Nicobar Islands,2018,4,Realme,760,0.049927736,Southern Region
Andaman and Nicobar Islands,2018,4,OnePlus,721,0.047365655,Southern Region
