State,Year,Quarter,Brand,Transaction_count,Percentage,Region
Andhra Pradesh,2019,1,Realme,564832,0.068191562,Southern Region
Andhra Pradesh,2019,1,Motorola,291830,0.035232323,Southern Region
Andhra Pradesh,2019,1,Apple,241108,0.02910871,Southern Region
Andhra Pradesh,2019,1,OnePlus,237269,0.028645232,Southern Region
Andhra Pradesh,2019,1,Huawei,220082,0.026570264,Southern Region
Andhra Pradesh,2019,1,Lenovo,171471,0.02070151,Southern Region
Andhra Pradesh,2019,1,Others,659126,0.079575575,Southern Region
Andhra Pradesh,2019,2,Xiaomi,2389374,0.254486445,Southern Region
Andhra Pradesh,2019,2,Samsung,1914378,0.20389577,Southern Region
Andhra Pradesh,2019,2,Vivo,1466695,0.156214137,Southern Region
Andhra Pradesh,2019,2,Oppo,963352,0.102604291,Southern Region
Andhra Pradesh,2019,2,Realme,641519,0.068326637,Southern Region
Andhra Pradesh,2019,2,Motorola,324778,0.034591319,Southern Region
Andhra Pradesh,2019,2,Apple,264860,0.028209598,Southern Region
Andhra Pradesh,2019,2,OnePlus,254273,0.027082002,Southern Region
Andhra Pradesh,2019,2,Huawei,250859,0.026718385,Southern Region
Andhra Pradesh,2019,2,Lenovo,189151,0.020146016,Southern Region
Andhra Pradesh,2019,2,Others,729764,0.077725399,Southern Region
Andhra Pradesh,2019,3,Xiaomi,2656468,0.253996173,Southern Region
Andhra Pradesh,2019,3,Samsung,2123659,0.203052045,Southern Region
Andhra Pradesh,2019,3,Vivo,1674109,0.160068662,Southern Region
Andhra Pradesh,2019,3,Oppo,1087660,0.103995786,Southern Region
Andhra Pradesh,2019,3,Realme,727964,0.069603726,Southern Region
Andhra Pradesh,2019,3,Motorola,348910,0.033360765,Southern Region
Andhra Pradesh,2019,3,Apple,286412,0.027385066,Southern Region
Andhra Pradesh,2019,3,Huawei,282587,0.027019342,Southern Region
Andhra Pradesh,2019,3,OnePlus,271100,0.025921021,Southern Region
Andhra Pradesh,2019,3,Lenovo,194180,0.018566373,Southern Region
Andhra Pradesh,2019,3,Others,805644,0.07703104,Southern Region
Andhra Pradesh,2019,4,Xiaomi,2985953,0.253953284,Southern Region
Andhra Pradesh,2019,4,Samsung,2379139,0.202344163,Southern Region
Andhra Pradesh,2019,4,Vivo,1922141,0.163476793,Southern Region
Andhra Pradesh,2019,4,Oppo,1241235,0.105566198,Southern Region
Andhra Pradesh,2019,4,Realme,844668,0.071838442,Southern Region
Andhra Pradesh,2019,4,Motorola,381692,0.032462647,Southern Region
Andhra Pradesh,2019,4,Huawei,317290,0.0269853,Southern Region
Andhra Pradesh,2019,4,Apple,308354,0.026225299,Southern Region
Andhra Pradesh,2019,4,OnePlus,286412,0.024359147,Southern Region
Andhra Pradesh,2019,4,Lenovo,208785,0.017757023,Southern Region
Andhra Pradesh,2019,4,Others,882214,0.075031704,Southern Region
Andhra Pradesh,2020,1,Xiaomi,3307542,0.253995297,Southern Region
Andhra Pradesh,2020,1,Samsung,2622762,0.201409147,Southern Region
Andhra Pradesh,2020,1,Vivo,2165012,0.166257259,Southern Region
Andhra Pradesh,2020,1,Oppo,1387060,0.106516173,Southern Region
Andhra Pradesh,2020,1,Realme,960418,0.073753154,Southern Region
Andhra Pradesh,2020,1,Motorola,411062,0.031566588,Southern Region
Andhra Pradesh,2020,1,Huawei,348324,0.026748763,Southern Region
Andhra Pradesh,2020,1,Apple,329329,0.025290085,Southern Region
Andhra Pradesh,2020,1,OnePlus,298911,0.022954202,Southern Region
Andhra Pradesh,2020,1,Lenovo,227154,0.017443784,Southern Region
Andhra Pradesh,2020,1,Others,964486,0.074065547,Southern Region
Andhra Pradesh,2020,2,Xiaomi,3635594,0.253888025,Southern Region
Andhra Pradesh,2020,2,Samsung,2888149,0.20169096,Southern Region
Andhra Pradesh,2020,2,Vivo,2409399,0.168257939,Southern Region
Andhra Pradesh,2020,2,Oppo,1535129,0.107204179,Southern Region
Andhra Pradesh,2020,2,Realme,1072165,0.074873557,Southern Region
Andhra Pradesh,2020,2,Motorola,445380,0.031102661,Southern Region
Andhra Pradesh,2020,2,Huawei,379220,0.026482445,Southern Region
Andhra Pradesh,2020,2,Apple,348938,0.024367732,Southern Region
Andhra Pradesh,2020,2,OnePlus,309208,0.021593227,Southern Region
Andhra Pradesh,2020,2,Lenovo,243288,0.016989771,Southern Region
Andhra Pradesh,2020,2,Others,1053205,0.073549504,Southern Region
Andhra Pradesh,2020,3,Xiaomi,3978789,0.253548707,Southern Region
Andhra Pradesh,2020,3,Samsung,3154020,0.200990224,Southern Region
Andhra Pradesh,2020,3,Vivo,2687996,0.171292801,Southern Region
Andhra Pradesh,2020,3,Oppo,1695723,0.108060109,Southern Region
Andhra Pradesh,2020,3,Realme,1207622,0.076955827,Southern Region
Andhra Pradesh,2020,3,Motorola,477313,0.030416816,Southern Region
Andhra Pradesh,2020,3,Huawei,408520,0.026032976,Southern Region
Andhra Pradesh,2020,3,Apple,370327,0.023599123,Southern Region
Andhra Pradesh,2020,3,OnePlus,322028,0.020521265,Southern Region
Andhra Pradesh,2020,3,Lenovo,260912,0.016626642,Southern Region
Andhra Pradesh,2020,3,Others,1129155,0.07195551,Southern Region
Andhra Pradesh,2020,4,Xiaomi,4325662,0.253309843,Southern Region
Andhra Pradesh,2020,4,Samsung,3419866,0.200266623,Southern Region
Andhra Pradesh,2020,4,Vivo,2950572,0.172784866,Southern Region
Andhra Pradesh,2020,4,Oppo,1856052,0.108690009,Southern Region
Andhra Pradesh,2020,4,Realme,1361491,0.079728622,Southern Region
Andhra Pradesh,2020,4,Motorola,506158,0.029640504,Southern Region
Andhra Pradesh,2020,4,Huawei,437125,0.025597947,Southern Region
Andhra Pradesh,2020,4,Apple,394191,0.023083741,Southern Region
Andhra Pradesh,2020,4,OnePlus,336518,0.019706422,Southern Region
Andhra Pradesh,2020,4,Lenovo,276671,0.016201795,Southern Region
Andhra Pradesh,2020,4,Others,1212259,0.070989628,Southern Region
Andhra Pradesh,2021,1,Xiaomi,4644641,0.252924664,Southern Region
Andhra Pradesh,2021,1,Samsung,3635596,0.197976958,Southern Region
Andhra Pradesh,2021,1,Vivo,3245151,0.176715214,Southern Region
Andhra Pradesh,2021,1,Oppo,2010506,0.109482424,Southern Region
Andhra Pradesh,2021,1,Realme,1531645,0.083405972,Southern Region
Andhra Pradesh,2021,1,Motorola,518115,0.028214035,Southern Region
Andhra Pradesh,2021,1,Huawei,455604,0.024809988,Southern Region
Andhra Pradesh,2021,1,Apple,421002,0.022925731,Southern Region
Andhra Pradesh,2021,1,OnePlus,355922,0.019381789,Southern Region
Andhra Pradesh,2021,1,Lenovo,277980,0.015137445,Southern Region
Andhra Pradesh,2021,1,Others,1267571,0.06902578,Southern Region
Andhra Pradesh,2021,2,Xiaomi,4937684,0.251654243,Southern Region
Andhra Pradesh,2021,2,Samsung,3798250,0.193581795,Southern Region
Andhra Pradesh,2021,2,Vivo,3572140,0.182057861,Southern Region
Andhra Pradesh,2021,2,Oppo,2173037,0.11075111,Southern Region
Andhra Pradesh,2021,2,Realme,1817804,0.092646287,Southern Region
Andhra Pradesh,2021,2,Motorola,503072,0.025639592,Southern Region
Andhra Pradesh,2021,2,Apple,450689,0.022969838,Southern Region
Andhra Pradesh,2021,2,Huawei,440324,0.022441574,Southern Region
Andhra Pradesh,2021,2,OnePlus,394851,0.020123995,Southern Region
Andhra Pradesh,2021,2,Lenovo,261201,0.013312383,Southern Region
Andhra Pradesh,2021,2,Others,1271853,0.064821322,Southern Region
Andhra Pradesh,2021,3,Xiaomi,5256707,0.249607429,Southern Region
Andhra Pradesh,2021,3,Vivo,3981492,0.189055617,Southern Region
Andhra Pradesh,2021,3,Samsung,3911188,0.185717329,Southern Region
Andhra Pradesh,2021,3,Oppo,2382363,0.113123197,Southern Region
Andhra Pradesh,2021,3,Realme,2134616,0.101359275,Southern Region
Andhra Pradesh,2021,3,Motorola,486971,0.023123141,Southern Region
Andhra Pradesh,2021,3,Apple,480993,0.022839284,Southern Region
Andhra Pradesh,2021,3,OnePlus,459011,0.0217955,Southern Region
Andhra Pradesh,2021,3,Huawei,435214,0.020665532,Southern Region
Andhra Pradesh,2021,3,Lenovo,245241,0.011644928,Southern Region
Andhra Pradesh,2021,3,Others,1286102,0.061068767,Southern Region
Andhra Pradesh,2021,4,Xiaomi,5518238,0.245374667,Southern Region
Andhra Pradesh,2021,4,Vivo,4381023,0.194807121,Southern Region
Andhra Pradesh,2021,4,Samsung,4017419,0.17863906,Southern Region
Andhra Pradesh,2021,4,Oppo,2580845,0.114760179,Southern Region
Andhra Pradesh,2021,4,Realme,2528884,0.112449675,Southern Region
Andhra Pradesh,2021,4,Apple,544986,0.024233416,Southern Region
Andhra Pradesh,2021,4,OnePlus,525373,0.023361302,Southern Region
Andhra Pradesh,2021,4,Motorola,474422,0.021095708,Southern Region
Andhra Pradesh,2021,4,Huawei,409934,0.018228177,Southern Region
Andhra Pradesh,2021,4,Lenovo,224391,0.009977799,Southern Region
Andhra Pradesh,2021,4,Others,1283514,0.057072895,Southern Region
Andhra Pradesh,2022,1,Xiaomi,5743382,0.240732408,Southern Region
Andhra Pradesh,2022,1,Vivo,4772765,0.200049241,Southern Region
Andhra Pradesh,2022,1,Samsung,4124296,0.172868827,Southern Region
Andhra Pradesh,2022,1,Realme,2864092,0.120047694,Southern Region
Andhra Pradesh,2022,1,Oppo,2780974,0.116563824,Southern Region
Andhra Pradesh,2022,1,Apple,594003,0.024897486,Southern Region
Andhra Pradesh,2022,1,OnePlus,580737,0.024341445,Southern Region
Andhra Pradesh,2022,1,Motorola,463652,0.019433857,Southern Region
Andhra Pradesh,2022,1,Huawei,401477,0.016827807,Southern Region
Andhra Pradesh,2022,1,Lenovo,222586,0.009329636,Southern Region
Andhra Pradesh,2022,1,Others,1309987,0.054907775,Southern Region
Arunachal Pradesh,2018,1,Xiaomi,5212,0.242474994,North-Eastern Region
Arunachal Pradesh,2018,1,Samsung,4354,0.202558735,North-Eastern Region
Arunachal Pradesh,2018,1,Vivo,3523,0.163898581,North-Eastern Region
Arunachal Pradesh,2018,1,Oppo,2608,0.121330542,North-Eastern Region
Arunachal Pradesh,2018,1,Realme,1297,0.060339614,North-Eastern Region
Arunachal Pradesh,2018,1,Apple,628,0.029216097,North-Eastern Region
Arunachal Pradesh,2018,1,Gionee,563,0.026192138,North-Eastern Region
Arunachal Pradesh,2018,1,Lenovo,420,0.019539428,North-Eastern Region
Arunachal Pradesh,2018,1,OnePlus,403,0.018748546,North-Eastern Region
Arunachal Pradesh,2018,1,Motorola,343,0.015957199,North-Eastern Region
Arunachal Pradesh,2018,1,Others,2144,0.099744127,North-Eastern Region
Arunachal Pradesh,2018,2,Xiaomi,8058,0.245050634,North-Eastern Region
Arunachal Pradesh,2018,2,Samsung,6633,0.201715172,North-Eastern Region
Arunachal Pradesh,2018,2,Vivo,5591,0.170027066,North-Eastern Region
Arunachal Pradesh,2018,2,Oppo,4204,0.127847216,North-Eastern Region
Arunachal Pradesh,2018,2,Realme,1943,0.059088283,North-Eastern Region
Arunachal Pradesh,2018,2,Apple,869,0.026427029,North-Eastern Region
Arunachal Pradesh,2018,2,Gionee,730,0.022199921,North-Eastern Region
Arunachal Pradesh,2018,2,Lenovo,581,0.017668704,North-Eastern Region
Arunachal Pradesh,2018,2,OnePlus,554,0.016847611,North-Eastern Region
Arunachal Pradesh,2018,2,Motorola,514,0.015631177,North-Eastern Region
Arunachal Pradesh,2018,2,Others,3206,0.097497187,North-Eastern Region
Arunachal Pradesh,2018,3,Xiaomi,11250,0.244980619,North-Eastern Region
Arunachal Pradesh,2018,3,Samsung,9307,0.202669744,North-Eastern Region
Arunachal Pradesh,2018,3,Vivo,8226,0.179129829,North-Eastern Region
Arunachal Pradesh,2018,3,Oppo,5992,0.130482122,North-Eastern Region
Arunachal Pradesh,2018,3,Realme,2676,0.058272723,North-Eastern Region
Arunachal Pradesh,2018,3,Apple,1153,0.025107791,North-Eastern Region
Arunachal Pradesh,2018,3,Gionee,1024,0.02229868,North-Eastern Region
Arunachal Pradesh,2018,3,OnePlus,740,0.016114281,North-Eastern Region
Arunachal Pradesh,2018,3,Motorola,722,0.015722312,North-Eastern Region
Arunachal Pradesh,2018,3,Lenovo,629,0.013697139,North-Eastern Region
Arunachal Pradesh,2018,3,Others,4203,0.091524759,North-Eastern Region
Arunachal Pradesh,2018,4,Xiaomi,15097,0.244082649,North-Eastern Region
Arunachal Pradesh,2018,4,Samsung,12580,0.203388734,North-Eastern Region
Arunachal Pradesh,2018,4,Vivo,11624,0.187932484,North-Eastern Region
Arunachal Pradesh,2018,4,Oppo,8328,0.134643989,North-Eastern Region
Arunachal Pradesh,2018,4,Realme,3613,0.058413633,North-Eastern Region
Arunachal Pradesh,2018,4,Apple,1517,0.024526289,North-Eastern Region
Arunachal Pradesh,2018,4,Gionee,1188,0.01920714,North-Eastern Region
Arunachal Pradesh,2018,4,Motorola,944,0.015262239,North-Eastern Region
Arunachal Pradesh,2018,4,OnePlus,896,0.014486193,North-Eastern Region
Arunachal Pradesh,2018,4,Lenovo,831,0.013435297,North-Eastern Region
Arunachal Pradesh,2018,4,Others,5234,0.084621354,North-Eastern Region
Arunachal Pradesh,2019,1,Xiaomi,18809,0.244409216,North-Eastern Region
Arunachal Pradesh,2019,1,Samsung,15537,0.201891966,North-Eastern Region
Arunachal Pradesh,2019,1,Vivo,14892,0.193510662,North-Eastern Region
Arunachal Pradesh,2019,1,Oppo,10738,0.139532466,North-Eastern Region
Arunachal Pradesh,2019,1,Realme,4413,0.057343711,North-Eastern Region
Arunachal Pradesh,2019,1,Apple,1870,0.024299284,North-Eastern Region
Arunachal Pradesh,2019,1,Gionee,1310,0.017022493,North-Eastern Region
Arunachal Pradesh,2019,1,Motorola,1137,0.014774484,North-Eastern Region
Arunachal Pradesh,2019,1,OnePlus,1114,0.014475616,North-Eastern Region
Arunachal Pradesh,2019,1,Huawei,972,0.01263043,North-Eastern Region
Arunachal Pradesh,2019,1,Others,6165,0.080109672,North-Eastern Region
Arunachal Pradesh,2019,2,Xiaomi,23326,0.243270585,North-Eastern Region
Arunachal Pradesh,2019,2,Samsung,19719,0.205652605,North-Eastern Region
Arunachal Pradesh,2019,2,Vivo,18958,0.197716014,North-Eastern Region
Arunachal Pradesh,2019,2,Oppo,13678,0.14265005,North-Eastern Region
Arunachal Pradesh,2019,2,Realme,5425,0.056578193,North-Eastern Region
Arunachal Pradesh,2019,2,Apple,2169,0.022620848,North-Eastern Region
Arunachal Pradesh,2019,2,Gionee,1608,0.016770089,North-Eastern Region
