State,Year,Quarter,District,Transaction_count,Transaction_amount,Latitude,Longitude,Region
Andaman and Nicobar Islands,2018,1,North and Middle Andaman,442,931663.0771,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2018,1,South Andaman,5688,12560249.34,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2018,1,Nicobars,528,1139848.801,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2018,2,North and Middle Andaman,825,1317863.083,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2018,2,South Andaman,9395,23948235.52,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2018,2,Nicobars,1120,3072436.908,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2018,3,North and Middle Andaman,1283,4901529.518,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2018,3,South Andaman,13511,44268112.46,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2018,3,Nicobars,1471,6387829.152,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2018,4,North and Middle Andaman,2137,7955635.918,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2018,4,South Andaman,20136,75411840.8,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2018,4,Nicobars,1485,7180859.355,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2019,1,North and Middle Andaman,3264,9561708.736,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2019,1,South Andaman,25683,85501972.39,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2019,1,Nicobars,1539,7236059.549,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2019,2,North and Middle Andaman,3371,8612103.138,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2019,2,South Andaman,28490,102530955.7,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2019,2,Nicobars,1828,9111650.824,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2019,3,North and Middle Andaman,4049,11481466.28,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2019,3,South Andaman,27421,91023888.33,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2019,3,Nicobars,2300,11566421.48,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2019,4,North and Middle Andaman,4716,13524056.78,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2019,4,South Andaman,27843,110930312.2,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2019,4,Nicobars,2600,12384161.53,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2020,1,North and Middle Andaman,5674,14697371.62,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2020,1,South Andaman,32713,134679396.9,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2020,1,Nicobars,2911,12099543.77,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2020,2,North and Middle Andaman,10979,22447714.06,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2020,2,South Andaman,48088,132855778.7,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2020,2,Nicobars,3895,14341508.6,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2020,3,North and Middle Andaman,16747,33486883.37,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2020,3,South Andaman,95323,282366109.2,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2020,3,Nicobars,5413,22166453.75,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2020,4,North and Middle Andaman,29349,68941322.39,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2020,4,South Andaman,186494,523122462.9,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2020,4,Nicobars,8688,35218871.04,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2021,1,North and Middle Andaman,27358,75027255.28,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2021,1,South Andaman,207092,669604045.1,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2021,1,Nicobars,10302,39075266.99,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2021,2,North and Middle Andaman,39200,90233388.79,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2021,2,South Andaman,286907,760893020.6,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2021,2,Nicobars,15307,48020606.75,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2021,3,North and Middle Andaman,46592,118254865.8,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2021,3,South Andaman,382418,1116789011,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2021,3,Nicobars,20754,74980519.33,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2021,4,North and Middle Andaman,53115,156486112.3,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2021,4,South Andaman,558571,1694794708,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2021,4,Nicobars,24437,81329281.03,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2022,1,North and Middle Andaman,60059,161624878.5,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2022,1,South Andaman,705512,1872991196,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2022,1,Nicobars,29177,94414127.65,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2022,2,North and Middle Andaman,72573,195693167.8,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2022,2,South Andaman,954875,2357326563,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2022,2,Nicobars,43769,132900618.9,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2022,3,North and Middle Andaman,79574,211581970.3,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2022,3,South Andaman,1455255,2967719401,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2022,3,Nicobars,49550,131330400.9,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2022,4,North and Middle Andaman,93297,241431284.4,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2022,4,South Andaman,1835592,3600887266,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2022,4,Nicobars,58646,142355854,10.7056905,92.4874679,Southern Region
Andhra Pradesh,2018,1,East Godavari,943935,1235785516,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,1,Srikakulam,458921,587778028.9,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,1,Spsr Nellore,531612,676643237.8,14.71875825,79.65961023,Southern Region
Andhra Pradesh,2018,1,Vizianagaram,420990,505783445.8,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,1,Visakhapatnam,1256469,1749966197,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,1,Prakasam,534757,748990775.9,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2018,1,Anantapur,638664,788830646,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2018,1,Ysr,487333,681481931.1,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2018,1,West Godavari,577090,853547668.8,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2018,1,Kurnool,679623,764905298.7,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2018,1,Chittoor,830324,1009621878,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,1,Guntur,815932,1108686589,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,1,Krishna,863935,1284255180,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2018,2,East Godavari,1221677,2168914928,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,2,Srikakulam,559868,929392017.4,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,2,Spsr Nellore,780454,1542057934,14.71875825,79.65961023,Southern Region
Andhra Pradesh,2018,2,Vizianagaram,529588,811711367.5,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,2,Visakhapatnam,1641192,2987853607,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,2,Prakasam,739991,1571167562,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2018,2,Anantapur,937023,1690366079,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2018,2,Ysr,690842,1415500368,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2018,2,West Godavari,786033,1688025212,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2018,2,Kurnool,968439,1531888666,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2018,2,Chittoor,1185723,1990419126,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,2,Guntur,1088101,2108475812,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,2,Krishna,1224987,2448141593,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2018,3,East Godavari,3226907,3551247095,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,3,Srikakulam,1073883,1318322237,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,3,Spsr Nellore,1308890,2215938596,14.71875825,79.65961023,Southern Region
Andhra Pradesh,2018,3,Vizianagaram,970132,1163546007,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,3,Visakhapatnam,3394576,4821892253,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,3,Prakasam,1319651,2346453445,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2018,3,Anantapur,1815215,2681787750,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2018,3,Ysr,1557444,2235904512,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2018,3,West Godavari,1431282,2309078493,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2018,3,Kurnool,2921189,2908389262,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2018,3,Chittoor,2297429,3283517631,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,3,Guntur,1912529,3127764663,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,3,Krishna,2396934,3754202654,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2018,4,East Godavari,3052762,4652624623,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,4,Srikakulam,1252807,1870278610,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,4,Spsr Nellore,1814997,3293448557,14.71875825,79.65961023,Southern Region
Andhra Pradesh,2018,4,Vizianagaram,1386787,1817673253,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,4,Visakhapatnam,4791421,7366635865,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,4,Prakasam,1692862,3255254226,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2018,4,Anantapur,2286391,3975878156,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2018,4,Ysr,1732527,3252340063,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2018,4,West Godavari,1688482,3237504255,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2018,4,Kurnool,2508530,3626544852,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2018,4,Chittoor,3166201,4979093890,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,4,Guntur,2546620,4730251218,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,4,Krishna,2839161,5416251838,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2019,1,East Godavari,5440146,7382264725,17.233496,81.7225986,Southern Region
Andhra Pradesh,2019,1,Srikakulam,2526855,3407912878,17.233496,81.7225986,Southern Region
Andhra Pradesh,2019,1,Spsr Nellore,3333584,5161932216,14.71875825,79.65961023,Southern Region
Andhra Pradesh,2019,1,Vizianagaram,2798241,3364576948,18.110744,83.386585,Southern Region
Andhra Pradesh,2019,1,Visakhapatnam,9690866,13459857441,18.110744,83.386585,Southern Region
Andhra Pradesh,2019,1,Prakasam,2931081,4807527779,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2019,1,Anantapur,3891336,6044730653,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2019,1,Ysr,2852197,4915811594,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2019,1,West Godavari,2829437,4623764455,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2019,1,Kurnool,4193432,5541564893,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2019,1,Chittoor,6486813,8223371732,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2019,1,Guntur,4846553,7765934169,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2019,1,Krishna,5443981,9061346433,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2019,2,East Godavari,4699261,9116404622,17.233496,81.7225986,Southern Region
Andhra Pradesh,2019,2,Srikakulam,2019203,4066576540,17.233496,81.7225986,Southern Region
Andhra Pradesh,2019,2,Spsr Nellore,3141891,6880873007,14.71875825,79.65961023,Southern Region
Andhra Pradesh,2019,2,Vizianagaram,2272320,4443041665,18.110744,83.386585,Southern Region
Andhra Pradesh,2019,2,Visakhapatnam,11705738,20797479804,18.110744,83.386585,Southern Region
Andhra Pradesh,2019,2,Prakasam,2670529,6262396448,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2019,2,Anantapur,3578836,7830782361,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2019,2,Ysr,2606284,6376856828,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2019,2,West Godavari,2402074,5676818259,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2019,2,Kurnool,3895824,7358285187,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2019,2,Chittoor,5983308,10982727976,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2019,2,Guntur,5005275,10405246943,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2019,2,Krishna,6428472,13437029116,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2019,3,East Godavari,6537303,11387726471,17.233496,81.7225986,Southern Region
Andhra Pradesh,2019,3,Srikakulam,2556296,4610131290,17.233496,81.7225986,Southern Region
Andhra Pradesh,2019,3,Spsr Nellore,4150195,8256600119,14.71875825,79.65961023,Southern Region
Andhra Pradesh,2019,3,Vizianagaram,2861581,4922069039,18.110744,83.386585,Southern Region
Andhra Pradesh,2019,3,Visakhapatnam,16694947,26944837120,18.110744,83.386585,Southern Region
Andhra Pradesh,2019,3,Prakasam,3430750,7354502261,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2019,3,Anantapur,4889720,9554081289,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2019,3,Ysr,3296586,7447544274,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2019,3,West Godavari,3179541,6627629029,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2019,3,Kurnool,5139134,9025632779,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2019,3,Chittoor,8201783,13837455759,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2019,3,Guntur,6942304,13075661264,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2019,3,Krishna,8408474,16404073561,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2019,4,East Godavari,9285739,16816774065,17.233496,81.7225986,Southern Region
Andhra Pradesh,2019,4,Srikakulam,3712555,6832369302,17.233496,81.7225986,Southern Region
Andhra Pradesh,2019,4,Spsr Nellore,5877804,11786014089,14.71875825,79.65961023,Southern Region
Andhra Pradesh,2019,4,Vizianagaram,3998234,7175851807,18.110744,83.386585,Southern Region
Andhra Pradesh,2019,4,Visakhapatnam,23594874,39133296330,18.110744,83.386585,Southern Region
Andhra Pradesh,2019,4,Prakasam,4865473,10604077825,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2019,4,Anantapur,6764112,13887248889,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2019,4,Ysr,4793157,10865073856,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2019,4,West Godavari,4596479,9710614747,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2019,4,Kurnool,7001958,13233105729,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2019,4,Chittoor,11246986,19298476028,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2019,4,Guntur,9761330,18565626418,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2019,4,Krishna,11719402,23039786404,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2020,1,East Godavari,11346242,21854701379,17.233496,81.7225986,Southern Region
Andhra Pradesh,2020,1,Srikakulam,4835092,9777575594,17.233496,81.7225986,Southern Region
Andhra Pradesh,2020,1,Spsr Nellore,7430247,15387829694,14.71875825,79.65961023,Southern Region
Andhra Pradesh,2020,1,Vizianagaram,5042066,9879174241,18.110744,83.386585,Southern Region
Andhra Pradesh,2020,1,Visakhapatnam,27115031,48809747615,18.110744,83.386585,Southern Region
Andhra Pradesh,2020,1,Prakasam,6318396,14169104765,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2020,1,Anantapur,8466129,17864325753,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2020,1,Ysr,6031255,14059924637,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2020,1,West Godavari,5919670,12995834341,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2020,1,Kurnool,8246869,17022710312,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2020,1,Chittoor,13257740,23441848567,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2020,1,Guntur,11493331,22992734621,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2020,1,Krishna,12175289,24481702771,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2020,2,East Godavari,13130334,26319906327,17.233496,81.7225986,Southern Region
Andhra Pradesh,2020,2,Srikakulam,6425515,12153650077,17.233496,81.7225986,Southern Region
Andhra Pradesh,2020,2,Spsr Nellore,9454274,20665376461,14.71875825,79.65961023,Southern Region
Andhra Pradesh,2020,2,Vizianagaram,6690313,12819344390,18.110744,83.386585,Southern Region
Andhra Pradesh,2020,2,Visakhapatnam,25300401,48293889917,18.110744,83.386585,Southern Region
Andhra Pradesh,2020,2,Prakasam,8844580,19846026727,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2020,2,Anantapur,10473739,22094006659,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2020,2,Ysr,8033609,19597207268,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2020,2,West Godavari,7273096,16585866855,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2020,2,Kurnool,9821381,22419372062,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2020,2,Chittoor,14848197,27361300300,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2020,2,Guntur,12308707,27463593608,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2020,2,Krishna,12313709,26964149095,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2020,3,East Godavari,17972431,39300043805,17.233496,81.7225986,Southern Region
Andhra Pradesh,2020,3,Srikakulam,8286289,18029574581,17.233496,81.7225986,Southern Region
Andhra Pradesh,2020,3,Spsr Nellore,16468209,39128324534,14.71875825,79.65961023,Southern Region
Andhra Pradesh,2020,3,Vizianagaram,8236703,17567816577,18.110744,83.386585,Southern Region
Andhra Pradesh,2020,3,Visakhapatnam,34421299,67628440368,18.110744,83.386585,Southern Region
Andhra Pradesh,2020,3,Prakasam,12266310,31221704852,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2020,3,Anantapur,14447683,34102037973,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2020,3,Ysr,11934653,32037007334,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2020,3,West Godavari,10412351,25408608726,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2020,3,Kurnool,13243292,32529351107,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2020,3,Chittoor,20501863,42811566246,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2020,3,Guntur,17601395,42531195810,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2020,3,Krishna,19110457,44788458672,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2020,4,East Godavari,25989490,58732615663,17.233496,81.7225986,Southern Region
Andhra Pradesh,2020,4,Srikakulam,11092184,25222520275,17.233496,81.7225986,Southern Region
Andhra Pradesh,2020,4,Spsr Nellore,20934374,49115443663,14.71875825,79.65961023,Southern Region
Andhra Pradesh,2020,4,Vizianagaram,10580824,24094847668,18.110744,83.386585,Southern Region
Andhra Pradesh,2020,4,Visakhapatnam,46551467,91879823025,18.110744,83.386585,Southern Region
Andhra Pradesh,2020,4,Prakasam,16176867,41852443494,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2020,4,Anantapur,20996384,49732610814,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2020,4,Ysr,15676878,42572974713,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2020,4,West Godavari,15674762,40310975763,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2020,4,Kurnool,18737323,44718203115,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2020,4,Chittoor,29590411,61505711150,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2020,4,Guntur,26136538,60641872021,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2020,4,Krishna,27981050,64461504668,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2021,1,East Godavari,26190701,60027984988,17.233496,81.7225986,Southern Region
Andhra Pradesh,2021,1,Srikakulam,11160473,26486623313,17.233496,81.7225986,Southern Region
Andhra Pradesh,2021,1,Spsr Nellore,22541428,52210333202,14.71875825,79.65961023,Southern Region
Andhra Pradesh,2021,1,Vizianagaram,10514582,24153782497,18.110744,83.386585,Southern Region
Andhra Pradesh,2021,1,Visakhapatnam,48248923,95308386038,18.110744,83.386585,Southern Region
Andhra Pradesh,2021,1,Prakasam,15175395,41396223622,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2021,1,Anantapur,20102957,48353870395,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2021,1,Ysr,15374473,42570919449,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2021,1,West Godavari,16015685,42124030669,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2021,1,Kurnool,17918524,44941629660,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2021,1,Chittoor,29342609,60947491847,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2021,1,Guntur,27445045,64207987853,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2021,1,Krishna,29717175,69715406645,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2021,2,East Godavari,31717908,74604325864,17.233496,81.7225986,Southern Region
Andhra Pradesh,2021,2,Srikakulam,13546232,32298129545,17.233496,81.7225986,Southern Region
Andhra Pradesh,2021,2,Spsr Nellore,30290406,72283071757,14.71875825,79.65961023,Southern Region
Andhra Pradesh,2021,2,Vizianagaram,12689494,29140685237,18.110744,83.386585,Southern Region
Andhra Pradesh,2021,2,Visakhapatnam,54390299,1.14439E+11,18.110744,83.386585,Southern Region
Andhra Pradesh,2021,2,Prakasam,19944047,54535328043,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2021,2,Anantapur,25123346,60987487571,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2021,2,Ysr,18457361,52523527031,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2021,2,West Godavari,20950964,57233116236,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2021,2,Kurnool,21972396,56659287475,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2021,2,Chittoor,34344902,73654690122,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2021,2,Guntur,32968819,82356914464,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2021,2,Krishna,36370960,90021923050,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2021,3,East Godavari,39572714,89380370073,17.233496,81.7225986,Southern Region
Andhra Pradesh,2021,3,Srikakulam,15639768,34836400770,17.233496,81.7225986,Southern Region
Andhra Pradesh,2021,3,Spsr Nellore,34411958,77839676988,14.71875825,79.65961023,Southern Region
Andhra Pradesh,2021,3,Vizianagaram,14510005,31383541628,18.110744,83.386585,Southern Region
Andhra Pradesh,2021,3,Visakhapatnam,69220981,1.36946E+11,18.110744,83.386585,Southern Region
Andhra Pradesh,2021,3,Prakasam,24116580,63367713447,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2021,3,Anantapur,30366444,70291248156,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2021,3,Ysr,22439316,60683557725,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2021,3,West Godavari,26245039,66647238455,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2021,3,Kurnool,26377809,62527453762,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2021,3,Chittoor,42628568,89371931753,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2021,3,Guntur,41675093,96525353090,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2021,3,Krishna,44828275,1.04418E+11,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2021,4,East Godavari,48992531,1.06726E+11,17.233496,81.7225986,Southern Region
Andhra Pradesh,2021,4,Srikakulam,18501857,39713657870,17.233496,81.7225986,Southern Region
Andhra Pradesh,2021,4,Spsr Nellore,41921081,92256405076,14.71875825,79.65961023,Southern Region
Andhra Pradesh,2021,4,Vizianagaram,17253059,36577529465,18.110744,83.386585,Southern Region
Andhra Pradesh,2021,4,Visakhapatnam,82711538,1.5953E+11,18.110744,83.386585,Southern Region
Andhra Pradesh,2021,4,Prakasam,27858275,71323060008,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2021,4,Anantapur,36129136,81239787007,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2021,4,Ysr,26340348,69081850069,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2021,4,West Godavari,33235175,81292461575,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2021,4,Kurnool,31782248,73968947670,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2021,4,Chittoor,51119640,1.03986E+11,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2021,4,Guntur,50919286,1.15554E+11,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2021,4,Krishna,55489829,1.25015E+11,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2022,1,East Godavari,54738830,1.21067E+11,17.233496,81.7225986,Southern Region
Andhra Pradesh,2022,1,Srikakulam,20990782,46898912116,17.233496,81.7225986,Southern Region
Andhra Pradesh,2022,1,Spsr Nellore,47645702,1.04896E+11,14.71875825,79.65961023,Southern Region
Andhra Pradesh,2022,1,Vizianagaram,19278262,41994853362,18.110744,83.386585,Southern Region
Andhra Pradesh,2022,1,Visakhapatnam,88233362,1.7012E+11,18.110744,83.386585,Southern Region
Andhra Pradesh,2022,1,Prakasam,31340975,79494373255,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2022,1,Anantapur,40613148,90197023268,15.2282086,79.8744994,Southern Region
Andhra Pradesh,2022,1,Ysr,29783739,78421693519,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2022,1,West Godavari,37271259,92397939904,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2022,1,Kurnool,35093633,81568420501,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2022,1,Chittoor,58561024,1.17901E+11,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2022,1,Guntur,57226996,1.29674E+11,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2022,1,Krishna,61826199,1.3969E+11,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2022,2,East Godavari,62072845,1.35531E+11,17.233496,81.7225986,Southern Region
Andhra Pradesh,2022,2,Srikakulam,23727353,53754764122,17.233496,81.7225986,Southern Region
Andhra Pradesh,2022,2,Spsr Nellore,54838708,1.21941E+11,14.71875825,79.65961023,Southern Region
